id,grade,age,school code,sex,homeless,disadvantaged,specialneeds,excused1,unexcused1,tardy1,excused2,unexcused2,tardy2,excused3,unexcused3,tardy3,excused4,unexcused4,tardy4
300053,10,16,1,F,N,YES,,22,0,0,0,0,0,0,0,1,2,2,0
300339,12,18,1,F,N,,,4,2,4,13,9,6,27,15,5,36,15,7
300340,11,17,1,M,N,,,1,0,0,5,1,1,3,0,5,24,0,1
300344,9,15,1,M,N,,,0,0,0,15,0,0,0,1,0,3,0,0
300345,8,15,2,M,N,,504,0,0,0,3,0,1,4,0,1,5,0,3
300628,11,17,1,F,N,,,2,1,1,0,0,3,6,0,5,2,4,11
300630,9,15,1,M,N,,504,1,0,1,0,0,0,0,1,0,2,1,2
300631,8,14,2,F,N,,,0,0,1,1,0,0,2,1,0,0,2,0
300908,11,18,1,F,N,,,1,0,0,4,0,1,3,0,3,0,9,6
300909,9,17,1,M,N,,IEP,27,0,1,16,0,0,5,0,0,15,0,0
300911,8,14,2,F,N,,504,3,0,1,0,0,0,7,0,0,9,0,0
301188,11,17,1,M,N,,504,0,0,1,15,0,1,5,1,0,6,0,2
301191,8,14,2,F,N,,,0,0,0,1,0,3,7,0,0,0,0,3
301466,11,17,1,F,N,,,5,0,0,7,0,2,15,1,0,5,0,1
301467,10,16,1,F,N,YES,,37,0,4,15,1,4,81,4,6,62,6,8
301743,12,19,1,M,N,,,6,1,1,10,1,2,9,0,3,27,5,4
301745,10,16,1,M,N,,504,2,0,2,8,0,1,26,0,1,5,0,0
301747,8,14,2,F,N,,,0,0,0,1,0,0,0,0,0,0,0,0
302027,12,19,1,M,N,,,9,0,2,5,0,2,12,1,2,5,0,2
302028,11,17,1,M,N,YES,,6,0,1,0,0,1,4,0,0,0,0,0
302032,9,15,1,F,N,,,1,0,2,1,0,0,0,1,2,0,1,0
302033,7,14,2,M,N,,,0,0,0,0,0,0,0,1,0,0,1,1
302316,8,15,2,F,N,YES,504,1,1,0,7,0,4,0,0,2,0,0,3
302317,8,15,2,M,N,,,0,0,0,0,0,0,0,0,2,0,0,1
302596,11,18,1,F,N,,504,6,1,7,10,10,11,12,14,9,2,8,9
