Source,Date,Search,Character,Comment,Likes,Shares,Valence,Category
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay getting closer and closer to Cassie in that room has me like... #Euphoria #EuphoriaHBO,59,8,Negative,Fear
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"maybe i'm just emotional af but when cassie was wiping off her back in the bathroom trying not to cry i lk cried for her. she really loves mckay and she put her trust into him only for him to treat her like a fucking object i'm not okay and men are fucking trash 
#euphoria",238,28,Negative,Insult
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Everyone’s taking sides on who’s the more toxic person in Cassie and McKay’s relationship but they both fucked up so idkk #euphoria,17,1,Negative,Insult
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"All I want is for Rue to beat her anxiety and drug addiction 
 I need Nate to go to jail.
I want Kat to continue her hot girl lifestyle
I want McKay to seek therapy 
I want Cassie to get better self esteem I NEED GIA to leave these F*** boys alone 
#EUPHORIA",45,7,Neutral,Concern
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Cassie and McKay need to go head and break up  #EUPHORIA,2,1,Neutral,Anti-shipping
Twitter,7-26-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,My favorite characters on Euphoria are probably Fez Jules Rue Kat Maddy McKay Nate Cassie BB Lexi Gia Ethan Roy Troy and Ashtray,49,7,Positive,Like
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,I feel like Cassie and McKay's relationship could be fixed if they just TF down and have a conversation with each other. They clearly love each other despite the B.S #Euphoria,8,1,Neutral,Shipping
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Me trying to process and understand that whole scene with McKay and Cassie right after he was sexually assaulted and humiliated. #Euphoria,2,0,Neutral,Conflicted
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Sooo is McKay secretly gay is that what it is? Cause I’m still confused with the whole dorm room scene and why he treats Cassie like shit🤣🥴 #euphoria,1,1,Neutral,Conflicted
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"My thoughts on Euphoria tonight:

McKay and Cassie: oof of the century 

Rules: that hurt. 

Lexi and Rules friendship: >>>>>

Drug dealer friends who won’t sell you drugs cause they love you healthy and sober... > x100 

Rue: BABY",6,0,Neutral,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"Nate needs to die or suffer for what he’s doing to Jules. 

Lexi is ass for covering up for her trash ass sister.

Cassie is a slut bucket.

Poor McKay...

Daniel is an asshole and I hate him.

#feelEUPHORIA #EuphoriaHBO #EUPHORIA",4,1,Neutral,Concern
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,McKay needs to stop worrying about what other people think of Cassie. If the attention and comments are too much for him  he needs to date somebody ugly & low key by default. He knew what was up before he met her. #euphoriahbo #EUPHORIA,7,1,Neutral,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Cassie and McKay were not a good match. Relationship doomed from the start. #Euphoria,1,0,Neutral,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,welp I finished Euphoria ..... I love Algee but McKay is trash (wish he would’ve handled his assault better)   Jules .... baby girl .... THE CLOWNERY  for once Rue is trying to do right  Cassie done did the 1 thing her mom told her not to do  and CAN SOMEONE PLEASE SHOOT NATE !!!,3,1,Negative,Insult
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"im watching euphoria and im so mad at mckay... he ""loves"" cassie but constantly tells her she wrong at everything she does and then says the only reason he likes her is because he has what other guys want bitch you dont love her you love winning",1,0,Negative,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Im so excited for Cassie’s episode though. McKay can choke. Taking out his anger and trauma on his girl to reclaim his masculinity by traumatizing HER and treating her like dirt like wtf. DUMP HIM SIS. #euphoria,8,0,Negative,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Cassie deserves so much better than bitch boy McKay and this other stupid douche chasing her. #Euphoria #EuphoriaHBO,1,0,Negative,Anti-shipping
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"Listen  McKay doesn't deserve Cassie and this is a FACT 
#Euphoria",3,0,Negative,Anti-shipping
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,i really want mckay and cassie to work but he’s got some insecurities and masculinity issues to work thru 😩😭😭😭 no thanks to pops tho #euphoria,2,0,Neutral,Shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Cassie  sweetie  love yourself and drop McKay!!! #Euphoria,0,0,Neutral,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Listen...y’all better not hurt my boo McKay anymore 😒. He’s bae and I really like him with Cassie. Don’t make everybody on the show bat shit crazy. #EuphoriaHBO #EUPHORIA,1,0,Positive,Like
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Euphoria club...how y’all feel about McKay and Cassie? I think they need to let each other go.,1,5,Neutral,Anti-shipping
Twitter,7-23-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Cassie deserves better than McKay and his garbage ass attitude. That moment after he was humiliated by his frat brothers was disgusting and Cassie should not have allowed that to be done to her. I wish she loved herself even an ounce. #Euphoria,3,0,Negative,Anti-shipping
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,I feel so bad for Cassie and McKay they are a toxic ass couple but also both deserve to be happy together ???? euphoria got me fucked up,1,0,Neutral,Conflicted
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Can we let the choppa sing on McKay and Daniel! They both don’t deserve Cassie. PERIODT #EuphoriaHBO #EUPHORIA,1,0,Neutral,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Cassie. love yourself. and by that I mean leave McKay. #EuphoriaHBO #EUPHORIA,0,0,Neutral,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,idek wtf that was but I stand firm in my belief that Cassie and McKay need to break up and McKay needs to go to therapy #EUPHORIA,0,0,Neutral,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,And Cassie needs to break up with McKay. He’s so insecure and is only using her for his fulfillment. #Euphoria,0,0,Neutral,Anti-shipping
Twitter,7-23-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,"Cassie deserves better than McKay. He takes his frustrations out on her  is ashamed of her and won't even claim her. #Euphoria 
@euphoriaHBO",0,0,Neutral,Anti-shipping
Twitter,7-25-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Also  McKay's idea of sex with Cassie on this episode just disgusted me. She should have went all the way and cheated on him with that other asshole #Euphoria,0,0,Negative,Justice
Twitter,7-22-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Was McKay tackled or did they assault him? 😨 I was in and out during that part. My heart hurts for him either way but I don’t like what he did to Cassie. #Euphoria,0,0,Neutral,Concern
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,These frats are weird. Now McKay gonna be messed up for life. This must happen in real life at college fraternities and he’s gonna abuse Cassie. Time for Cassie and McKay to break up #Euphoria #EuphoriaHBO,2,0,Neutral,Anti-shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,while everything that has happened to mckay is disgusting and shouldn’t have happened to him  the way that he treats cassie like an object isn’t acceptable in the slightest and his background isn’t an excuse for it either #euphoria,2,0,Neutral,Conflicted
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,MCKAY episode was soooooo good I swear all though he made me mad. I just need him and Cassie to sit and have a convo cause this back and forth they doing is STRESSING ME OUT ‼️#EUPHORIA,2,1,Neutral,Shipping
Twitter,7-21-19,"""McKay"" and ""Cassie"" and ""Euphoria"" until:2019-07-27 since:2019-07-21",McKay,Cassie  girl please get away from McKay. He is terrible and has nothing at all to offer. #EUPHORIA,1,0,Negative,Insult
