YEAR,ST,State,TopicType,TopicDesc,MeasureDesc,SubMeasure,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Age,Race,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,6.6,,,1,4.8,9,1308,Overall,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,6RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,7,,,1.9,4.1,11.9,204,Overall,All Ages,American Indian/Alaska Native,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,2RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Ages,Asian,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,8RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Ages,African American,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,1RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,8.8,,,2.3,5.2,14.6,150,Overall,All Ages,Hispanic,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,4RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Ages,Pacific Islander,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,9RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,6.8,,,1.8,4,11.3,564,Overall,All Ages,White,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,5RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,5.7,,,2,2.7,11.4,166,Overall,All Ages,Multiple Race,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,7RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,5.2,,,0.9,3.7,7.3,644,Female,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,3GEN,8AGE,6RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Current Cigar Smoker,Current,%,Percentage,7.9,,,1.5,5.4,11.3,660,Male,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,2GEN,8AGE,6RAC,2EDU,YRB09,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,0.7,,,0.3,0.3,1.7,1308,Overall,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,6RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,0.5,,,0.5,0.1,3.6,204,Overall,All Ages,American Indian/Alaska Native,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,2RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Ages,Asian,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,8RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Ages,African American,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,1RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,2.6,,,1.2,1.1,6.4,150,Overall,All Ages,Hispanic,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,4RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,All Ages,Pacific Islander,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,9RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,0,,,0,0,0,564,Overall,All Ages,White,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,5RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,1.3,,,0.9,0.3,4.9,166,Overall,All Ages,Multiple Race,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,1GEN,8AGE,7RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,0.6,,,0.4,0.2,2.3,644,Female,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,3GEN,8AGE,6RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigar Use (Youth),Smoking Status,Frequent Cigar Smoker,Frequent,%,Percentage,0.8,,,0.4,0.3,2.1,660,Male,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,153BEH,181CIG,2GEN,8AGE,6RAC,2EDU,YRB10,2
2017,AK,Alaska,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,Current Cigarette Smoker,Current,%,Percentage,10.9,,,1.1,8.8,13.4,1287,Overall,All Ages,All Races,High School,"(64.84507995700051, -147.72205903599973)",BEH,106BEH,169SSA,1GEN,8AGE,6RAC,2EDU,YRB01,1
2017,AK,Alaska,Tobacco Use - Survey Data,Cigarette Use (Youth),Smoking Status,Current Cigarette Smoker,Current,%,Percentage,22.8,,,4.6,14.9,33.2,195,Overall,All Ages,American Indian/Alaska Native,High School,"(64.84507995700051, -147.72205903599973)",BEH,106BEH,169SSA,1GEN,8AGE,2RAC,2EDU,YRB01,1
