State,Percentage,Lower Limit, Upper Limit
Median of States,8.9,8.6,9.5
Alabama,11.1,10.3,11.9
Alaska,7.2,6.2,8.3
Arizona,10.1,9,11.3
Arkansas,10.2,9.3,11.2
California,9.6,8.9,10.2
Colorado,7.2,6.6,7.8
Connecticut,8.1,7.4,9
Delaware,8.7,7.8,9.7
District of Columbia,8.9,7.8,10.1
Florida,9.9,8.9,10.9
Georgia,9.6,8.8,10.5
Hawaii,7,6.1,8
Idaho,7.8,6.9,8.8
Illinois,8.9,7.9,9.9
Indiana,10.1,9.4,10.8
Iowa,8.6,8,9.3
Kansas,8.8,8.2,9.4
Kentucky,9.7,9,10.5
Louisiana,11.5,10.6,12.4
Maine,8.2,7.6,8.9
Maryland,9.4,8.7,10.1
Massachusetts,7.7,7.2,8.2
Michigan,9.4,8.7,10.1
Minnesota,6.8,6.3,7.4
Mississippi,11.7,10.9,12.6
Missouri,9.6,8.7,10.5
Montana,6.2,5.7,6.8
Nebraska,7.4,7,7.9
Nevada,8.4,7.4,9.7
New Hampshire,7.8,7.2,8.4
New Jersey,8.4,7.9,9
New Mexico,9.4,8.7,10.1
New York,9,8.1,10
North Carolina,9.7,9.1,10.3
North Dakota,7.8,7,8.7
Ohio,10.4,9.8,11.1
Oklahoma,10.6,9.9,11.3
Oregon,9.1,8.2,10
Pennsylvania,8.9,8.4,9.4
Rhode Island,8.8,8,9.8
South Carolina,10.5,9.9,11.2
South Dakota,7,6.3,7.9
Tennessee,10.8,10,11.7
Texas,10.6,9.9,11.4
Utah,7.8,7.3,8.4
Vermont,6.4,5.7,7.2
Virginia,9.8,9.1,10.6
Washington,8.2,7.7,8.8
West Virginia,11.1,10.3,12
Wisconsin,7.5,6.6,8.5
Wyoming,8.4,7.5,9.4
Guam,10.3,8.7,12.1
Puerto Rico,15.2,14.3,16.1
Virgin Islands of the U.S.,No Data,No Data,No Data
