State,Percentage,Lower Limit, Upper Limit
Alabama,12,11.2,12.9
Alaska,7.8,6.6,9.2
Arizona,9.1,8.4,9.9
Arkansas,11.2,10.2,12.4
California,9.6,9,10.3
Colorado,6.4,5.9,6.9
Connecticut,8.1,7.5,8.8
Delaware,9.9,8.9,11
District of Columbia,9.3,8,10.7
Florida,9.3,8.6,10
Georgia,10.7,9.8,11.6
Hawaii,7.8,7,8.6
Idaho,7.3,6.6,8.1
Illinois,9.1,8.3,9.9
Indiana,10.5,9.5,11.5
Iowa,7.7,7,8.4
Kansas,8.9,8.5,9.2
Kentucky,12.1,11.1,13.1
Louisiana,11.8,10.8,12.9
Maine,8.2,7.5,9
Maryland,9.4,8.6,10.2
Massachusetts,8,7.3,8.7
Michigan,9.5,8.8,10.2
Minnesota,6.9,6.4,7.3
Mississippi,13.6,12.5,14.7
Missouri,10.2,9.4,11.1
Montana,6.7,6,7.6
Nebraska,8,7.5,8.5
Nevada,9,7.7,10.6
New Hampshire,6.8,6.2,7.4
New Jersey,7.9,7.3,8.5
New Mexico,10.5,9.5,11.5
New York,8.9,8.3,9.5
North Carolina,9.6,8.9,10.3
North Dakota,8.1,7.3,9
Ohio,9.5,8.9,10.2
Oklahoma,10.7,9.9,11.5
Oregon,9.6,8.7,10.5
Pennsylvania,8.8,8,9.6
Rhode Island,7.9,7.1,8.8
South Carolina,10.5,9.8,11.2
South Dakota,8.4,7.5,9.4
Tennessee,11.4,10.4,12.5
Texas,11.2,10.3,12
Utah,7.5,7,8.1
Vermont,7.1,6.4,7.9
Virginia,9.6,8.9,10.3
Washington,7.7,7.2,8.2
West Virginia,12.5,11.6,13.4
Wisconsin,7.4,6.6,8.3
Wyoming,7.6,6.8,8.4
Guam,14.2,11.8,16.9
Puerto Rico,14.7,13.8,15.7
Virgin Islands of the U.S.,No Data,No Data,No Data
