"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2019","UAB HEALTH SYSTEM","0","0","0","1","56","","AL","BIRMINGHAM","35233"
"2019","ADVANCED ONCOLOGY GROUP LLC","1","0","0","0","62","","CA","ARCADIA","91007"
"2019","APEXLOGISTICS INTL SFO INC","0","1","0","0","54","","CA","COMPTON","90221"
"2019","DOTUM OYENUGA D/B/A ANALYSIS & SOL","0","1","0","0","54","","CA","LOS ANGELES","90034"
"2019","EVALUATOR GROUP INC","1","0","0","0","54","","CO","BOULDER","80301"
"2019","CRITICAL MIX","0","0","1","0","54","","CT","WESTPORT","06880"
"2019","JC MACHINE WORKS CORP","0","0","1","0","23","","FL","DORAL","33178"
"2019","JUDGE SOFTWARE PROF INC","0","0","1","0","54","","FL","JACKSONVILLE","32258"
"2019","DEFENSESTORM INC","1","0","0","0","51","","GA","ALPHARETTA","30005"
"2019","COMMUNITY CONSOLIDATED SCH DIST NO","1","0","0","0","61","","IL","BLOOMINGDALE","60108"
"2019","INDIANA INTERNAL MED CONSULTANTS","0","0","1","0","62","","IN","GREENWOOD","46143"
"2019","STRUCTURAL DESIGH INCORPORATED D/B","1","0","0","0","54","","MI","ANN ARBOR","48104"
"2019","F H R INC DBA MI LANGUAGE CTR","0","1","0","0","61","","MI","ANN ARBOR","48104"
"2019","LEMON TREE MEDIA LLC","1","0","0","0","54","","NC","RALEIGH","27615"
"2019","DOOSAN INFRACORE NORTH AMERICA LLC","0","0","1","0","33","","ND","WEST FARGO","58078"
"2019","MICRO DATA SYSTEMS INC","0","1","0","0","54","","NJ","HOLMDEL","07733"
"2019","NETROCON SYSTEMS LLC DBA NETROCON","0","0","1","0","54","","NJ","PRINCETON","08540"
"2019","NORWEGIAN CHRISTIAN HOME HLTH CTR","0","0","0","1","62","","NY","BROOKLYN","11219"
"2019","CORNELL UNIV GLOBAL LEARNING","2","0","2","0","61","","NY","ITHACA","14853"
"2019","LODGING SOLUTIONS LLC DBA ACCOMIDA","0","0","1","0","56","","NY","MELVILLE","11747"
"2019","CRUSHH APP LLC","1","0","0","0","51","","NY","NEW YORK","10003"
"2019","KOSTOW GREENWWOOD ARCHITECTS LLP","0","0","1","0","54","","NY","NEW YORK","10012"
"2019","WK WEBSTER OVERSEAS LTD","1","0","0","0","52","","NY","NEW YORK","10038"
"2019","TERADA OPERATIONS INC","1","0","0","0","54","","OH","MIAMISBURG","45342"
"2019","VIHAR F W LP BEST WESTERN INN","0","0","1","0","72","","PA","FORT WASHINGTON","19034"
"2019","BLUE OCEAN INTERNATIONAL BANK LLC","1","0","0","0","52","","PR","SAN JUAN","00918"
"2019","CBL & ASSOCIATES MANAGEMENT INC","0","1","0","0","53","","TN","CHATTANOOGA","37421"
"2019","LANE BOOT COMPANY","0","0","1","0","31","","TX","ARLINGTON","76011"
"2019","SUPREME PHARMACY LLC DBA METRORX","1","0","0","0","44","","TX","HOUSTON","77057"
"2019","JMP PETROLEUM TECHNOLOGIES LLC","0","1","0","0","33","","TX","HUMBLE","77338"
"2019","MK ASSOCIATES INC","0","0","1","0","54","","TX","PLANO","75075"
"2019","ALAMO AREA RAPE CRISIS CENTER","0","0","1","0","62","","TX","SAN ANTONIO","78228"
"2019","CONCEPTS INFORMATION TECH","0","0","1","0","99","","VA","VIENNA","22182"
"2019","MARKET SOLUTIONS ASIA LLC","0","1","0","0","54","","WA","BRUSH PRAIRIE","98606"
"2019","A2Z DEVELOPMENT CENTER D/B/A LAB 1","1","0","0","0","42","","WA","SEATTLE","98121"
"2019","TD BANK NATIONAL ASSOCIATION","0","0","1","0","52","7770","NJ","MOUNT LAUREL","08054"
"2019","SOUTHERN MAINE HEALTH CARE","0","0","1","0","62","9500","ME","BIDDEFORD","04005"
"2019","THE MOUNT DESERT ISLAND BIOLOGICAL","1","0","0","0","54","2467","ME","SALSBURY COVE","04672"
"2019","COLBY COLLEGE","1","0","0","0","61","1497","ME","WATERVILLE","04901"
"2019","EASTERN MAINE MEDICAL CENTER","2","0","0","0","62","1501","ME","BANGOR","04401"
"2019","THE JACKSON LABORATORY","3","0","11","0","54","1513","ME","BAR HARBOR","04609"
"2019","MAINE CENTRAL INSTITUTE","0","0","1","0","61","2438","ME","PITTSFIELD","04967"
"2019","JOHN HANCOCK LIFE INSURANCE CO USA","2","0","9","0","52","3346","MA","BOSTON","02210"
"2019","REDINGTON FAIRVIEW GENERAL HOSPITA","0","0","1","0","62","4446","ME","SKOWHEGAN","04976"
"2019","WOODARD & CURRAN INC","0","0","1","0","54","3222","ME","PORTLAND","04102"
"2019","THE AROOSTOOK MEDICAL CENTER","0","0","1","0","62","2148","ME","PRESQUE ISLE","04769"
"2019","PINES HEALTH SVCS","0","0","1","0","62","6890","ME","CARIBOU","04736"
"2019","IDEXX LABORATORIES INC","0","0","3","0","54","3723","ME","WESTBROOK","04092"
"2019","STROUDWATER ASSOCIATES","0","0","1","0","54","9937","ME","PORTLAND","04102"
"2019","BAKER NEWMAN NOYES PA LLC","0","0","1","0","54","4526","ME","PORTLAND","04101"
"2019","TRC ENGINEERS LLC","1","0","0","0","54","6475","MA","BOSTON","02210"
"2019","TRC ENGINEERS LLC","0","0","2","0","54","6475","ME","AUGUSTA","04330"
"2019","WEX INC","2","0","0","0","52","6993","ME","SOUTH PORTLAND","04106"
"2019","WOOD GROUP USA INC","1","0","0","0","54","1791","TX","HOUSTON","77084"
"2019","ROCHA & COMPANY PC","0","0","1","0","54","2424","MD","GAITHERSBURG","20878"
"2019","EVERCORE PARTNERS SERVICES E LLC","1","1","4","0","52","2543","NY","NEW YORK","10055"
"2019","BROOKS SCARPA ARCHITECTS INC","0","0","1","0","54","2842","CA","LOS ANGELES","90043"
"2019","KEBOK COM LLC","1","0","0","0","54","7070","MI","TROY","48098"
"2019","DREAMLAND PRESCHOOL INC","0","1","0","0","62","8393","CA","IRVINE","92604"
"2019","ARIZONA PRODUCTION & PACKAGING LLC","1","0","0","0","33","9957","AZ","TEMPE","85283"
"2019","SC & ASSOCIATES LLP","1","0","0","0","54","2318","NY","GREAT NECK","11021"
"2019","WOOD MACKENZIE INC","2","0","0","0","54","4533","TX","HOUSTON","77057"
"2019","CUSTOMER VALUE PARTNERS INC","0","0","1","0","54","0597","VA","FAIRFAX","22030"
"2019","DIGITAS INC","2","0","1","1","54","2286","MA","BOSTON","02110"
"2019","3SHARP LLC","0","0","1","0","51","8148","WA","REDMOND","98052"
"2019","GLOBAL FORCE USA INC","0","1","0","0","54","9993","TX","HOUSTON","77074"
"2019","ADVANCED PURIFICATION ENGRG CORP","0","0","1","0","22","7030","CA","CITY OF INDUSTRY","91745"
"2019","ADVANCED PURIFICATION ENGINEERING","1","0","0","0","33","7030","CA","CITY OF INDUSTRY","91745"
"2019","ELIZABETH R BLANDON PA D/B/A BLAND","1","0","0","0","54","1872","FL","WESTON","33331"
"2019","NARDI ASSOCIATES LLP","1","0","0","0","54","4756","CA","MONROVIA","91016"
"2019","ASBURY AUTOMOTIVE GROUP INC","1","1","0","0","44","9375","GA","DULUTH","30097"
"2019","ENERGY RECOVERY INC","2","1","0","0","33","6867","CA","SAN LEANDRO","94577"
"2019","SPACE EXPLORATION TECHNOLOGIES COR","1","1","0","0","33","7671","CA","HAWTHORNE","90250"
"2019","TECHNICAL STRATEGIES INC","0","3","0","1","54","8930","VA","CHANTILLY","20151"
"2019","KIPP AUSTIN PUBLIC SCHOOLS","1","0","0","0","61","9602","TX","AUSTIN","78724"
"2019","KIPP TEXAS INC","0","0","2","0","61","9602","TX","HOUSTON","77099"
"2019","SCARLET INFOTECH INC DBA EXPEDIEN","0","0","1","0","54","1832","TX","HOUSTON","77027"
"2019","DYNAMIC RATINGS INC","2","0","0","0","33","2517","WI","SUSSEX","53089"
"2019","GRANDSTREAM NETWORKS INC","1","2","0","0","33","8916","MA","BOSTON","02215"
"2019","PERKINS WILL CRA LLC","1","0","0","0","54","4481","IL","CHICAGO","60611"
"2019","MRO CORPORATION","0","0","1","0","54","1910","PA","NORRISTOWN","19403"
"2019","ALERT LOGIC INC","1","0","2","0","54","3750","TX","HOUSTON","77056"
"2019","HURON CONSULTING SERVICES LLC","4","0","6","3","54","6453","IL","CHICAGO","60607"
"2019","ADVANCED BOTANICAL CONSULTING AND","1","0","0","0","54","4784","CA","TUSTIN","92780"
"2019","1ST ORIENTAL MARKET LLC","0","0","0","1","44","7242","FL","ORLANDO","32808"
"2019","HIREZON CORPORATION DBA INTERVIEWE","1","0","0","0","54","8663","MA","WESTBOROUGH","01581"
"2019","PCCW GLOBAL INC","1","0","0","0","51","3873","VA","HERNDON","20170"
"2019","INNOVATE INC","0","0","1","0","54","0529","VA","ALEXANDRIA","22310"
"2019","TERATHINK CORPORATION","0","0","2","0","54","7106","VA","RESTON","20190"
"2019","DELASOFT INC","0","1","10","1","54","2358","DE","NEW CASTLE","19720"
"2019","JEFFERIES INVESTMENT ADVISERS LLC","0","0","1","0","52","4452","NY","NEW YORK","10022"
"2019","ARMO CONSULTANTS LLC","1","0","4","0","54","7102","NJ","PARSIPPANY","07054"
"2019","WRP USA INC","0","1","0","0","33","8813","OH","UNIONTOWN","44685"
"2019","PRECO INC","1","0","0","0","54","1767","WI","SOMERSET","54025"
"2019","HUEY CHIAO INTL INC DBA TELEFORCE","1","0","0","0","42","2711","TX","DALLAS","75229"
"2019","BAVELLE TECHNOLOGIES GROUP LLC","1","0","0","0","54","3604","NJ","EAST HANOVER","07936"
"2019","AMETRADE INC D/B/A AMEPOWER","1","0","0","0","42","6955","FL","MIAMI","33172"
"2019","SHIVAM INFOTECH INC","1","0","1","1","54","0867","NJ","KENDALL PARK","08824"
"2019","MFXCHANGE US INC","1","0","1","0","54","8234","NJ","BRIDGEWATER","08807"
"2019","MFXCHANGE US INC","0","0","0","1","52","8234","NJ","MORRISTOWN","07960"
"2019","VERGE MARKETING INC DBA VERGE CREA","1","0","0","0","99","8346","NY","NEW YORK","10001"
"2019","JPAY INC","1","0","0","0","51","6761","FL","MIRAMAR","33025"
"2019","CVE TECHNOLOGY GROUP INC","3","1","0","0","33","8196","TX","ALLEN","75013"
"2019","RIVERWALK EDUCATION FOUNDATION","2","0","0","0","61","8906","TX","SAN ANTONIO","78209"
"2019","CASAMBA LLC","1","0","0","0","51","3247","CA","AGOURA HILLS","91301"
"2019","UCA GROUP INC","0","1","0","0","54","0143","IL","ELGIN","60123"
"2019","ARDEN ENGINEERING CONSTRUCTORS LLC","1","0","0","0","54","5457","RI","PAWTUCKET","02861"
"2019","JEFF DAVIS PEANUT & GRAIN INC","1","0","0","0","11","7045","GA","DENTON","31532"
"2019","INVENSENSE INC","2","0","0","0","33","9977","CA","SAN JOSE","95110"
