"Fiscal Year","Employer","Initial Approvals","Initial Denials","Continuing Approvals","Continuing Denials","NAICS","Tax ID","State","City","ZIP"
"2015","ARCTIC SLOPE REGIONAL CORP ASRC","0","0","1","0","55","","AK","ANCHORAGE","99503"
"2015","BRADLEY ACADEMY OF EXCELLENCE INC","0","0","1","0","61","","AZ","GOODYEAR","85338"
"2015","GADSDEN ELEMENTARY SCHOOL DISTRIC","0","0","1","0","61","","AZ","SAN LUIS","85349"
"2015","TRUMEX DISTRIBUTION & CONSULTING I","0","0","1","0","99","","CA","ARCADIA","91006"
"2015","GRABBER INC /IMPACT PHOTOGRAPHICS","0","0","1","0","54","","CA","EL DORADO","95762"
"2015","SAVEE INC","0","1","0","0","54","","CA","FREMONT","94539"
"2015","BEHROOZ DERAKHSHAN DBA ALL PRO INV","0","1","0","0","23","","CA","IRVINE","92618"
"2015","MKK & ASSOCIATES INC","0","0","0","1","54","","CA","LOS ANGELES","90010"
"2015","MURPHY RESEARCH","0","0","1","0","54","","CA","LOS ANGELES","90034"
"2015","ROUND HILL CELLARS A CORP DBA RUTH","0","0","1","0","31","","CA","SAINT HELENA","94574"
"2015","THE ALCHIMISTI GROUP INC","1","0","0","0","99","","CA","SAN CARLOS","94070"
"2015","BURRITO LABS INC","0","0","1","0","51","","CA","SANTA MONICA","90401"
"2015","THE LLELAND STANFORD JR UNIVERSITY","1","0","0","0","61","","CA","STANFORD","94305"
"2015","GOOD LIFE ACUPUNCTURE CLINIC","1","0","0","0","62","","CA","TORRANCE","90505"
"2015","SUNNYVALE SEAFOOD COMPANY INC SSC","1","0","0","0","42","","CA","UNION CITY","94587"
"2015","SKIDATA PEOPLE ACCESS INC","1","0","0","0","33","","CO","DENVER","80228"
"2015","AMSTAR ADVISERS LLC","1","0","0","0","52","","CO","DENVER","80265"
"2015","CIRCULAR LOGIC L L C","1","0","0","0","51","","CT","EAST HARTFORD","06108"
"2015","GRACEFUL EDGE LLC DBA TAILWIND ADV","0","0","1","0","54","","DC","WASHINGTON","20010"
"2015","PAULOCHAN COMPNAY LLC","0","0","0","1","54","","FL","MIAMI","33176"
"2015","MAZZA MEDITERRANEAN CUISINE","0","1","0","0","72","","FL","PEMBROKE PINES","33028"
"2015","FLORIDA AGRICULTURAL AND MECAHNICA","1","0","0","0","61","","FL","TALLAHASSEE","32307"
"2015","FL DEPT OF HEALTH-DIV OF DISEASE C","0","0","1","0","92","","FL","TALLAHASSEE","32399"
"2015","SYSTEM SOFT TECHNOLOGES LLC","1","0","0","0","54","","FL","TAMPA","33607"
"2015","KUNG FU TEA FOWLER LLC","1","0","0","0","72","","FL","TAMPA","33612"
"2015","GEORIGA CHRISTIAN UNIVERSITY INC","0","1","0","0","61","","GA","ATLANTA","30360"
"2015","SANDCASTLE SAIPAN LLC","1","0","0","0","71","","GU","TUMON","96913"
"2015","MORNINGSTOAR INC (A MORNINGSTAR CO","0","0","1","0","52","","IL","CHICAGO","60602"
"2015","ONRAMP TECHNOLOGIES LLC D B ACHANN","1","0","0","0","54","","IL","CHICAGO","60603"
"2015","AKZO NOBEL SVCS INC","0","0","1","0","32","","IL","CHICAGO","60607"
"2015","IL COLLEGE OF OPTOMETRY","1","0","0","0","61","","IL","CHICAGO","60616"
"2015","BEYOND INTL CORP LTD","1","0","0","0","52","","IL","DOWNERS GROVE","60515"
"2015","EDWARD HEALTH VENTURES","1","0","0","0","62","","IL","NAPERVILLE","60540"
"2015","REMONT ENGRG & DESIGN GROUP LLC","0","1","0","0","54","","LA","NEW ORLEANS","70179"
"2015","FLORIDA MENS MEDICAL CLINIC LLC","0","1","0","0","62","","MA","FRAMINGHAM","01701"
"2015","THE ASPERGER/AUTISM NETWORK INC","0","0","1","0","81","","MA","WATERTOWN","02472"
"2015","TAILORED INNOVATIONS INC","0","1","0","0","54","","MA","WOBURN","01801"
"2015","AVCO CONSUTING INC","1","0","0","0","54","","MA","WORCESTER","01608"
"2015","316 CHARLES LLC","0","0","1","0","99","","MD","BALTIMORE","21201"
"2015","PUJA HOSPITALITY INC","0","0","1","0","99","","ME","FREEPORT","04032"
"2015","MIREHAB SERVICES PC","0","0","1","0","62","","MI","FARMINGTON HILLS","48334"
"2015","MERCY HOSP PORT HURON","0","0","1","0","62","","MI","PORT HURON","48060"
"2015","TRILOGY MARKETING INC","0","0","1","0","54","","MI","SOUTHFIELD","48076"
"2015","INDEPTH ENGINEERING SOLUTUIONS LLC","1","0","0","0","54","","MI","TROY","48083"
"2015","NORTHERN TOOL & EQUIPMENT CATALOG","1","0","0","0","99","","MN","BURNSVILLE","55337"
"2015","STATE OF MN BOARD OF PUBLIC DEFENS","0","0","1","0","54","","MN","MINNEAPOLIS","55415"
"2015","EGAN COMPANY","1","0","0","0","23","","MN","MINNEAPOLIS","55428"
"2015","WORLD RELIEF MINNESOTA DBA ARRIVE","0","0","1","0","99","","MN","RICHFIELD","55423"
"2015","T AND T COMMUNICATION SERVICES INC","0","0","1","0","71","","NC","DURHAM","27713"
"2015","UNIVERSITY OF MOUNT OLIVE","0","1","0","0","99","","NC","MOUNT OLIVE","28365"
"2015","PERSON FAMILY MEDICAL & DENTAL CTR","1","0","1","0","62","","NC","ROXBORO","27573"
"2015","INDOUS TECH & EDU SERVICES INC","0","1","0","0","54","","NJ","EDISON","08817"
"2015","EMERGENCY MEDICAL ASSN OF NY PC","0","0","1","0","62","","NJ","PARSIPPANY","07054"
"2015","DEOSEN USA INC","0","1","0","0","31","","NJ","PISCATAWAY","08854"
"2015","NAVAJO TECHNICAL UNIV DBA NAVAJO T","0","0","1","0","61","","NM","CROWNPOINT","87313"
"2015","MONTE DEL SOL CHARTER SCHOOL","0","1","0","0","61","","NM","SANTA FE","87507"
"2015","APEX HEALTHCARE PROFESSIONAL INC","0","0","1","0","56","","NV","LAS VEGAS","89117"
"2015","PLAXALL DIV OF DESIGN CTR INC","1","0","0","0","54","","NY","LONG ISLAND CITY","11101"
"2015","CLASSIC MEDALLICS INC","0","0","0","1","42","","NY","MOUNT VERNON","10550"
"2015","NEW YORK OFC OF MGMT & BUDGET","3","0","0","0","92","","NY","NEW YORK","10007"
"2015","EDAMAM LLC","0","0","1","0","51","","NY","NEW YORK","10011"
"2015","GLENBORN CORP","1","0","0","0","54","","NY","NEW YORK","10016"
"2015","ADVANTAGE AMERICA NY REG CTR LLC","1","0","0","0","52","","NY","NEW YORK","10017"
"2015","SPM GROUP INC","0","0","1","0","52","","NY","NEW YORK","10036"
"2015","TRANSFORMATIVE MEDICAL HEALTH NYC","0","0","1","0","62","","NY","NEW YORK","10038"
"2015","VERUS REAL ESTATE INC","0","1","0","0","53","","NY","NEW YORK","10069"
"2015","SHEMORE CONSTRUCTION INC","1","0","0","0","23","","NY","YONKERS","10704"
