Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories)
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4000000000000004,,,,,,,,,,,,,,
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,,,,,,,,,,,,,,
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,,,,,,,,,,,,,,
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.9076923080000001,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,4.0,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.7596310359999999,2.8,3.9436619719999997,49576.3,69825.77465,13449.891480000002
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004,4.7540983610000005,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.7058823530000002,1.202185792,0.88,5.176470588,2754.2,16201.176469999999,3762.568306
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.708418891,0.69,7.666666667,,,0.0,1.35523614,14.66666667,1.8583162219999998,1.81,20.11111111,0.0,,
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,2.6,4.820512821,16.92,,176.66666669999998,,620.1,0.911680912,,0.581196581,2.04,,16438.6,,4683.361822999999
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,1.4,1.5413105409999999,5.41,,62.02279202,,217.7,0.515669516,,0.5213675210000001,1.83,,9493.3,,2704.643875
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,5.008797653999999,17.08,7.97758057,,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,
Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.7999999999999999,2.173410405,7.52,3.3843384339999996,,178.48784880000002,396.6,0.28323699399999996,0.441044104,2.156069364,7.46,3.357335734,27948.2,12577.94779,
Nuts,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,0.2,3.113821138,19.15,11.72688304,672.1626016,2531.414574,4133.8,0.069918699,0.263319045,2.107317073,12.96,7.936313533,229889.8,140777.5873,37380.45528
Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.4,2.437931034,14.14,5.401069519,319.362069,707.5248281,1852.3,0.556896552,1.233766234,1.570689655,9.11,3.4797555389999997,61797.9,23605.003819999998,10654.81034
Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,1.0,,1.06,,,,27.8,,,,0.66,,955.6,,
Tofu,1.0,0.0,0.5,0.8,0.2,0.2,0.3,3.0,,,,,,,,,,,,,,
Soybean Oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,5.999999999999999,,11.69,,,,414.6,,,,10.52,,14888.2,,
Palm Oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,7.6000000000000005,1.207013575,10.67,,0.7239819000000001,,6.4,0.828054299,,0.273755656,2.42,,36.2,,4.095022623999999
Sunflower Oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,3.5000000000000004,5.730769231,50.66,,114.0158371,,1007.9,0.407239819,,1.9977375569999998,17.66,,36369.4,,4114.18552
Rapeseed Oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,3.7,2.17081448,19.19,,26.88914027,,237.7,0.426470588,,1.2024886879999999,10.63,,10593.7,,1198.382353
Olive Oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,6.0,4.214932127,37.26,,242.2850679,,2141.8,0.6131221720000001,,2.976244344,26.31,,177480.2,,20076.9457
Tomatoes,0.4,0.0,0.7,0.0,0.2,0.1,0.0,1.4000000000000001,39.52631579,7.51,68.27272727,1946.315789,3361.818182,369.8,11.0,19.0,4.210526316,0.8,7.272727272999999,5335.7,48506.363639999996,28082.63158
Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004,8.756756757,3.24,24.92307692,38.64864865,110.0,14.3,1.351351351,3.8461538460000004,1.054054054,0.39,3.0,932.0,7169.230769,2518.918919
Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004,4.351351351,1.61,16.1,76.75675676,284.0,28.4,1.162162162,4.3,0.8918918920000001,0.33,3.3,929.2,9292.0,2511.3513510000002
Brassicas,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.4,29.47058824,5.01,45.54545455,702.3529412,1085.4545449999998,119.4,3.0,4.6363636360000005,3.235294118,0.55,5.0,8455.1,76864.54545,49735.88235
Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,,2.27,,,,102.5,,,,0.38,,4911.4,,
Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,7.0,2.24,37.33333333,258.4375,1378.333333,82.7,1.21875,6.5,2.6875,0.86,14.33333333,4662.7,77711.66667,14570.9375
Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.7999999999999999,5.483333332999999,3.29,36.55555556,190.83333330000002,1272.222222,114.5,1.4333333330000002,9.555555556,3.2166666669999997,1.93,21.44444444,661.9,7354.444444,1103.166667
Apples,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.30000000000000004,3.020833333,1.45,48.33333333,375.2083333,6003.333333,180.1,0.895833333,14.33333333,1.3125,0.63,21.0,12948.6,431620.0,26976.25
Berries & Grapes,0.0,0.0,0.7,0.0,0.2,0.2,0.0,1.0999999999999999,10.73684211,6.12,61.2,736.1403508999999,4196.0,419.6,2.6842105259999998,15.3,4.228070175,2.41,24.1,21162.1,211621.0,37126.49123
Wine,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,1.4,,4.57,,,,78.9,,,,1.78,,1149.3,,
Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.7,,2.43,,,,153.5,,,,0.89,,9533.1,,
Coffee,3.7,0.0,10.4,0.6,0.1,1.6,0.1,16.500000000000004,197.3571429,110.52,138.15,46.25,32.375,25.9,50.94642857,35.6625,38.60714286,21.62,27.025,337.0,421.25,601.7857142999999
Dark Chocolate,14.3,0.0,3.7,0.2,0.1,0.4,0.0,18.7,16.84332689,87.08,174.16,104.5647969,1081.2,540.6,9.023210832,93.3,13.3384913,68.96,137.92,2879.2,5758.4,556.9052224
