Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2011-08-13,Blackburn,Wolves,1,2,A,1,1,D,K Friend,16,13,8,4,14,10,12,6,4,2,0,0
2011-08-13,Fulham,Aston Villa,0,0,D,0,0,D,L Mason,13,7,9,1,10,18,2,3,2,4,0,0
2011-08-13,Liverpool,Sunderland,1,1,D,1,0,H,P Dowd,11,15,4,6,17,12,6,3,4,4,0,0
2011-08-13,Newcastle,Arsenal,0,0,D,0,0,D,P Walton,6,9,1,4,9,11,2,5,3,5,0,1
2011-08-13,QPR,Bolton,0,4,A,0,1,A,M Atkinson,13,13,7,7,9,16,3,2,1,2,1,0
2011-08-13,Wigan,Norwich,1,1,D,1,1,D,S Attwell,18,13,11,3,11,8,7,3,2,2,0,0
2011-08-14,Stoke,Chelsea,0,0,D,0,0,D,M Halsey,6,20,3,11,12,12,4,6,2,2,0,0
2011-08-14,West Brom,Man United,1,2,A,1,1,D,M Jones,14,11,8,5,16,9,6,5,3,2,0,0
2011-08-15,Man City,Swansea,4,0,H,0,0,D,M Dean,26,8,19,5,9,2,7,4,0,0,0,0
2011-08-20,Arsenal,Liverpool,0,2,A,0,0,D,M Atkinson,10,13,6,8,11,6,9,5,2,2,1,0
2011-08-20,Aston Villa,Blackburn,3,1,H,2,0,H,S Attwell,9,10,6,6,9,13,5,4,3,0,0,0
2011-08-20,Chelsea,West Brom,2,1,H,0,1,A,L Mason,22,6,12,4,12,8,7,4,2,4,0,0
2011-08-20,Everton,QPR,0,1,A,0,1,A,K Friend,14,4,7,3,12,9,2,1,1,1,0,0
2011-08-20,Sunderland,Newcastle,0,1,A,0,0,D,H Webb,15,12,5,10,17,7,7,6,3,3,1,0
2011-08-20,Swansea,Wigan,0,0,D,0,0,D,P Dowd,12,10,6,4,8,18,7,7,0,3,0,0
2011-08-21,Bolton,Man City,2,3,A,1,2,A,M Jones,6,17,4,9,19,14,7,8,2,0,0,0
2011-08-21,Norwich,Stoke,1,1,D,1,0,H,N Swarbrick,9,15,7,5,13,12,3,6,0,2,1,0
2011-08-21,Wolves,Fulham,2,0,H,2,0,H,M Dean,17,8,7,4,7,10,7,8,2,2,0,0
2011-08-22,Man United,Tottenham,3,0,H,0,0,D,L Probert,27,20,21,12,12,9,11,3,1,2,0,0
2011-08-27,Aston Villa,Wolves,0,0,D,0,0,D,M Atkinson,15,3,5,2,10,9,11,8,1,3,0,0
2011-08-27,Blackburn,Everton,0,1,A,0,0,D,L Mason,14,9,6,4,17,13,5,4,5,2,0,0
2011-08-27,Chelsea,Norwich,3,1,H,1,0,H,M Jones,16,9,8,6,17,14,8,6,2,2,0,1
2011-08-27,Liverpool,Bolton,3,1,H,1,0,H,L Probert,17,7,9,4,5,7,12,6,0,2,0,0
2011-08-27,Swansea,Sunderland,0,0,D,0,0,D,M Halsey,15,12,6,8,7,10,7,4,1,1,0,0
2011-08-27,Wigan,QPR,2,0,H,1,0,H,M Oliver,13,19,10,9,13,8,8,7,2,0,0,0
2011-08-28,Man United,Arsenal,8,2,H,3,1,H,H Webb,25,19,15,13,9,7,3,5,2,3,0,1
2011-08-28,Newcastle,Fulham,2,1,H,0,0,D,K Friend,13,16,9,9,19,8,6,6,2,1,0,0
2011-08-28,Tottenham,Man City,1,5,A,0,2,A,P Dowd,15,22,10,12,11,9,10,5,2,4,0,0
2011-08-28,West Brom,Stoke,0,1,A,0,0,D,M Dean,16,7,7,1,9,12,5,1,0,0,0,0
2011-09-10,Arsenal,Swansea,1,0,H,1,0,H,S Attwell,18,10,8,5,10,7,4,5,3,2,0,0
2011-09-10,Bolton,Man United,0,5,A,0,3,A,A Marriner,20,13,13,9,14,1,5,7,2,0,0,0
2011-09-10,Everton,Aston Villa,2,2,D,1,0,H,M Oliver,17,7,10,3,13,11,8,0,1,1,0,0
2011-09-10,Man City,Wigan,3,0,H,1,0,H,M Atkinson,23,9,10,5,6,9,8,3,0,0,0,0
2011-09-10,Stoke,Liverpool,1,0,H,1,0,H,M Clattenburg,3,20,1,11,12,13,2,12,0,1,0,0
