Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2016-08-13,Burnley,Swansea,0,1,A,0,0,D,J Moss,10,17,3,9,10,14,7,4,3,2,0,0
2016-08-13,Crystal Palace,West Brom,0,1,A,0,0,D,C Pawson,14,13,4,3,12,15,3,6,2,2,0,0
2016-08-13,Everton,Tottenham,1,1,D,1,0,H,M Atkinson,12,13,6,4,10,14,5,6,0,0,0,0
2016-08-13,Hull,Leicester,2,1,H,1,0,H,M Dean,14,18,5,5,8,17,5,3,2,2,0,0
2016-08-13,Man City,Sunderland,2,1,H,1,0,H,R Madley,16,7,4,3,11,14,9,6,1,2,0,0
2016-08-13,Middlesbrough,Stoke,1,1,D,1,0,H,K Friend,12,12,2,1,18,14,9,6,3,5,0,0
2016-08-13,Southampton,Watford,1,1,D,0,1,A,R East,24,5,6,1,8,12,6,2,1,2,0,1
2016-08-14,Arsenal,Liverpool,3,4,A,1,1,D,M Oliver,9,16,5,7,13,17,5,4,3,3,0,0
2016-08-14,Bournemouth,Man United,1,3,A,0,1,A,A Marriner,9,11,3,7,7,10,4,2,0,1,0,0
2016-08-15,Chelsea,West Ham,2,1,H,0,0,D,A Taylor,16,7,6,3,16,16,7,1,5,2,0,0
2016-08-19,Man United,Southampton,2,0,H,1,0,H,A Taylor,12,13,5,1,11,8,4,0,0,0,0,0
2016-08-20,Burnley,Liverpool,2,0,H,2,0,H,L Mason,3,26,2,5,14,5,1,12,0,1,0,0
2016-08-20,Leicester,Arsenal,0,0,D,0,0,D,M Clattenburg,8,13,1,4,11,7,2,7,1,2,0,0
2016-08-20,Stoke,Man City,1,4,A,0,2,A,M Dean,8,12,3,6,12,13,7,7,3,4,0,0
2016-08-20,Swansea,Hull,0,2,A,0,0,D,S Attwell,13,12,3,4,7,10,8,3,0,0,0,0
2016-08-20,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,20,10,5,2,19,9,10,4,3,3,0,0
2016-08-20,Watford,Chelsea,1,2,A,0,0,D,J Moss,6,13,2,4,20,10,0,5,4,3,0,0
2016-08-20,West Brom,Everton,1,2,A,1,1,D,N Swarbrick,11,13,4,7,16,10,7,4,3,1,0,0
2016-08-21,Sunderland,Middlesbrough,1,2,A,0,2,A,M Atkinson,18,8,5,3,11,14,8,1,1,1,0,0
2016-08-21,West Ham,Bournemouth,1,0,H,0,0,D,C Pawson,15,8,2,5,15,15,1,6,3,1,0,1
2016-08-27,Chelsea,Burnley,3,0,H,2,0,H,M Clattenburg,22,6,10,0,6,9,9,5,2,2,0,0
2016-08-27,Crystal Palace,Bournemouth,1,1,D,0,1,A,M Dean,24,10,5,3,15,10,10,4,2,1,0,0
