Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2012-08-18,Arsenal,Sunderland,0,0,D,0,0,D,C Foy,14,3,4,2,12,8,7,0,0,0,0,0
2012-08-18,Fulham,Norwich,5,0,H,2,0,H,M Oliver,11,4,9,2,12,11,6,3,0,0,0,0
2012-08-18,Newcastle,Tottenham,2,1,H,0,0,D,M Atkinson,6,12,4,6,12,8,3,5,2,2,0,0
2012-08-18,QPR,Swansea,0,5,A,0,1,A,L Probert,20,12,11,8,11,14,5,3,2,2,0,0
2012-08-18,Reading,Stoke,1,1,D,0,1,A,K Friend,9,6,3,3,9,14,4,3,2,4,0,1
2012-08-18,West Brom,Liverpool,3,0,H,1,0,H,P Dowd,15,14,10,7,10,11,7,3,1,4,0,1
2012-08-18,West Ham,Aston Villa,1,0,H,1,0,H,M Dean,8,10,4,6,17,8,6,4,0,1,0,0
2012-08-19,Man City,Southampton,3,2,H,1,0,H,H Webb,20,9,15,6,4,6,7,3,1,2,0,0
2012-08-19,Wigan,Chelsea,0,2,A,0,2,A,M Jones,12,5,4,3,16,11,7,1,2,2,0,0
2012-08-20,Everton,Man United,1,0,H,0,0,D,A Marriner,16,12,7,7,12,11,6,8,1,2,0,0
2012-08-22,Chelsea,Reading,4,2,H,1,2,A,L Mason,23,7,11,5,11,14,1,5,0,2,0,0
2012-08-25,Aston Villa,Everton,1,3,A,0,3,A,M Oliver,7,19,3,11,10,7,1,9,1,0,1,0
2012-08-25,Chelsea,Newcastle,2,0,H,2,0,H,P Dowd,11,11,6,5,8,10,2,3,1,0,0,0
2012-08-25,Man United,Fulham,3,2,H,3,1,H,K Friend,20,14,11,11,12,7,8,8,0,1,0,0
2012-08-25,Norwich,QPR,1,1,D,1,1,D,M Clattenburg,13,6,4,4,15,14,6,2,0,2,0,0
2012-08-25,Southampton,Wigan,0,2,A,0,0,D,A Taylor,14,12,9,8,11,9,10,3,0,0,0,0
