city,month,quarter,revenue,customers,avg_order,rating,marketing_spend
Seattle,Jan,Q1,44200,2180,20.3,4.1,3200
Seattle,Feb,Q1,43800,2160,20.3,4.2,3100
Seattle,Mar,Q1,45100,2220,20.3,4.2,3200
Seattle,Apr,Q2,45800,2250,20.4,4.3,3300
Seattle,May,Q2,47200,2310,20.4,4.2,3400
Seattle,Jun,Q2,48100,2350,20.5,4.3,3500
Seattle,Jul,Q3,49200,2390,20.6,4.3,3600
Seattle,Aug,Q3,50100,2420,20.7,4.2,3600
Seattle,Sep,Q3,49800,2400,20.8,4.3,3500
Seattle,Oct,Q4,51200,2460,20.8,4.3,3700
Seattle,Nov,Q4,52100,2490,20.9,4.4,3800
Seattle,Dec,Q4,54300,2550,21.3,4.4,4200
Austin,Jan,Q1,28400,1420,20.0,4.4,5800
Austin,Feb,Q1,30600,1520,20.1,4.5,6200
Austin,Mar,Q1,33100,1640,20.2,4.5,6500
Austin,Apr,Q2,35700,1760,20.3,4.6,6800
Austin,May,Q2,38500,1890,20.4,4.5,7200
Austin,Jun,Q2,41800,2030,20.6,4.6,7600
Austin,Jul,Q3,45100,2170,20.8,4.6,8000
Austin,Aug,Q3,48600,2310,21.0,4.7,8200
Austin,Sep,Q3,52200,2460,21.2,4.6,8400
Austin,Oct,Q4,56100,2620,21.4,4.7,8800
Austin,Nov,Q4,60200,2790,21.6,4.7,9200
Austin,Dec,Q4,64800,2980,21.7,4.8,9800
Chicago,Jan,Q1,37800,1890,20.0,3.9,4200
Chicago,Feb,Q1,36900,1850,19.9,4.0,4100
Chicago,Mar,Q1,38500,1930,19.9,4.0,4200
Chicago,Apr,Q2,39200,1960,20.0,4.1,4300
Chicago,May,Q2,40100,2000,20.1,4.0,4400
Chicago,Jun,Q2,41300,2060,20.0,4.0,4500
Chicago,Jul,Q3,40800,2040,20.0,4.1,4400
Chicago,Aug,Q3,41900,2090,20.0,4.0,4500
Chicago,Sep,Q3,42600,2130,20.0,4.1,4500
Chicago,Oct,Q4,43800,2190,20.0,4.1,4600
Chicago,Nov,Q4,44900,2240,20.0,4.2,4700
Chicago,Dec,Q4,47200,2360,20.0,4.1,5100
Portland,Jan,Q1,21800,880,24.8,4.7,1800
Portland,Feb,Q1,22100,890,24.8,4.8,1800
Portland,Mar,Q1,22600,910,24.8,4.7,1900
Portland,Apr,Q2,23200,930,24.9,4.8,1900
Portland,May,Q2,23800,955,24.9,4.8,2000
Portland,Jun,Q2,24500,980,25.0,4.8,2000
Portland,Jul,Q3,25200,1005,25.1,4.8,2100
Portland,Aug,Q3,25900,1030,25.1,4.9,2100
Portland,Sep,Q3,26100,1040,25.1,4.8,2100
Portland,Oct,Q4,26800,1065,25.2,4.9,2200
Portland,Nov,Q4,27500,1090,25.2,4.9,2200
Portland,Dec,Q4,29100,1145,25.4,4.9,2500
New York,Jan,Q1,14200,620,22.9,3.8,9500
New York,Feb,Q1,16800,730,23.0,3.9,9000
New York,Mar,Q1,19400,840,23.1,4.0,8500
New York,Apr,Q2,22600,970,23.3,4.1,8000
New York,May,Q2,26100,1110,23.5,4.1,7500
New York,Jun,Q2,30200,1280,23.6,4.2,7000
New York,Jul,Q3,34500,1450,23.8,4.2,6800
New York,Aug,Q3,38100,1590,24.0,4.3,6500
New York,Sep,Q3,40800,1690,24.1,4.3,6200
New York,Oct,Q4,43200,1780,24.3,4.4,6000
New York,Nov,Q4,45600,1870,24.4,4.4,6000
New York,Dec,Q4,49800,2020,24.7,4.5,7000
Boston,Jan,Q1,19200,870,22.1,3.6,4500
Boston,Feb,Q1,18600,845,22.0,3.7,4800
Boston,Mar,Q1,18900,860,22.0,3.7,5000
Boston,Apr,Q2,19400,880,22.0,3.8,5200
Boston,May,Q2,20100,910,22.1,3.8,5400
Boston,Jun,Q2,20600,930,22.2,3.9,5200
Boston,Jul,Q3,20200,915,22.1,3.8,4800
Boston,Aug,Q3,20800,940,22.1,3.9,4800
Boston,Sep,Q3,21200,960,22.1,3.9,5000
Boston,Oct,Q4,21800,985,22.1,4.0,5200
Boston,Nov,Q4,22300,1005,22.2,4.0,5400
Boston,Dec,Q4,24100,1080,22.3,4.1,5800
