,Issue Datetime,Summons Number,Violation Code,Violation Location,Violation Precinct,House Number,Street Name,Intersecting Street,City & State,Ticket Cost,Ticket Type,Zip Code,Lat,Long
0,2019-01-14 12:00:00,8678224277,14,83,83,W,St Nicholas Ave,07ft N/of Jefferson,"Brooklyn, NY",115.0,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",11237.0,40.708059,-73.922539
1,2019-01-11 11:29:00,8678223868,21,90,90,N,Wythe Ave,08ft W/of Rutledge S,"Brooklyn, NY",45.0,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",11249.0,40.7002211,-73.95987290000001
2,2019-01-13 15:05:00,8699568241,50,79,79,S,Macon St,0ft E/of Arlington P,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11216.0,40.68091750000001,-73.9511572
3,2019-01-11 08:37:00,8701817176,50,90,90,N,S 1st St,0ft E/of Driggs Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.713345,-73.960163
4,2019-01-14 12:37:00,8695487570,50,90,90,S,Debevoise St,0ft E/of Graham Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11206.0,40.701637,-73.942267
5,2019-01-12 06:52:00,8715522556,50,81,81,S,Jefferson Ave,0ft E/of Howard Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11221.0,40.68664769999999,-73.92075679999999
6,2019-01-12 15:33:00,8598239392,50,79,79,N,Fulton St,0ft E/of Kingston Av,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11216.0,40.679938,-73.941209
7,2019-01-12 08:42:00,8582151032,50,81,81,S,Pulaski St,0ft E/of Marcus Garv,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11221.0,40.6934147,-73.94009009999999
8,2019-01-11 15:31:00,8611202790,50,90,90,S,Rutledge St,0ft E/of Marcy Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11206.0,40.703747,-73.954442
9,2019-01-14 14:39:00,8689805205,50,90,90,S,Harrison Ave,0ft E/of Middleton S,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11206.0,40.703287,-73.95064099999999
10,2019-01-12 06:02:00,8715522489,50,81,81,S,Jefferson Ave,0ft E/of Patchen Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11221.0,40.6859721,-73.9266708
11,2019-01-12 07:39:00,8532936362,50,83,83,S,Knickerbocker Ave,0ft E/of Schaefer St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11237.0,40.691692,-73.905846
12,2019-01-12 07:55:00,8715522672,50,83,83,W,Madison St,0ft N/of Bushwick Av,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11221.0,40.68964769999999,-73.9184092
13,2019-01-12 05:16:00,8532936015,50,83,83,W,Hart St,0ft N/of Irving Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11237.0,40.703115,-73.92157999999999
14,2019-01-11 06:48:00,8725321286,50,81,81,W,Lewis Ave,0ft N/of Kosciusko S,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11221.0,40.6922851,-73.9369069
15,2019-01-11 14:23:00,8594440893,50,90,90,E,Powers St,0ft N/of Lorimer St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.7118937,-73.9490275
16,2019-01-11 06:24:00,8535587159,50,90,90,W,Union Ave,0ft N/of Lorimer St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11206.0,40.70256639999999,-73.9502455
17,2019-01-12 08:21:00,8715573850,50,83,83,E,Central Ave,0ft N/of Melrose St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11206.0,40.7011466,-73.9305462
18,2019-01-14 16:01:00,8539024056,50,94,94,E,Bedford Ave,0ft N/of N 4th St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.716172,-73.95951099999999
19,2019-01-14 21:18:00,8714729088,70,90,90,W,Bedford Ave,0ft N/of Penn St,"Brooklyn, NY",65.0,Standing or parking a vehicle without showing a current New York registration sticker.,11249.0,40.7019658,-73.9587198
20,2019-01-14 21:17:00,8714729076,50,90,90,W,Bedford Ave,0ft N/of Penn St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11249.0,40.7019658,-73.9587198
21,2019-01-14 08:54:00,8676196930,50,90,90,E,Wythe Ave,0ft N/of S 8th St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11249.0,40.7098684,-73.9669663
22,2019-01-14 14:03:00,8578348667,50,90,90,E,Marcy Ave,0ft S/of Broadway,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.7084091,-73.95791609999999
23,2019-01-11 06:25:00,8689861634,50,88,88,E,St Johns Pl,0ft S/of Greene Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11233.0,40.6699053,-73.9236646
24,2019-01-14 14:29:00,8725657987,50,90,90,E,Rutledge St,0ft S/of Kent Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11249.0,40.699498,-73.9610098
25,2019-01-11 16:06:00,8610830482,50,90,90,E,Thames St,0ft S/of Morgan Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11237.0,40.704958,-73.931507
26,2019-01-11 16:02:00,8610830470,50,90,90,E,Ingraham St,0ft S/of Morgan Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11237.0,40.7070616,-73.93208109999999
27,2019-01-14 20:43:00,8671539210,50,90,90,E,Marcy Ave,0ft S/of Penn St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.704312,-73.955074
28,2019-01-12 05:50:00,8715522428,50,81,81,E,Marcus Garvey Blvd,0ft S/of Putnam Ave,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11221.0,40.68535800000001,-73.938515
29,2019-01-11 13:33:00,8611202739,50,90,90,W,S 9th St,0ft S/of Rodney St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.7078865,-73.9568116
30,2019-01-11 13:35:00,8539023738,50,90,90,W,Broadway,0ft S/of Rodney St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11211.0,40.7079993,-73.9567297
31,2019-01-14 13:03:00,8598239823,50,83,83,E,Irving Ave,0ft S/of Stanhope St,"Brooklyn, NY",115.0,"Stopping, standing or parking in a crosswalk. Note: Crosswalks are not always identified by painted street markings.",11237.0,40.701831,-73.91932299999999
